category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Finance,3.55,1464,6.1M,Free,Everyone,Mar 28 2020,2.0.9.7,4.0 and up,"1,000,000+"
Finance,3.84,4935,52M,Free,Everyone,Apr 24 2020,4.1,4.0 and up,"100,000+"
Finance,3.89,420,5.9M,Free,Everyone,Feb 22 2020,2.13.0,4.3 and up,"100,000+"
Shopping,4.3,10355,847k,Free,Teen,Jul 24 2019,1.5.1,4.0 and up,"1,000,000+"
Business,4.4,51510,Varies with device,Free,Everyone,Sep 06 2019,Varies with device,Varies with device,"5,000,000+"
Business,4.2,16422,28M,Free,Everyone,Sep 05 2019,10.46.2,4.1 and up,"1,000,000+"
Dating,4.2,313769,Varies with device,Free,Mature 17+,Sep 08 2019,2.6.142,4.1 and up,"10,000,000+"
Tools,4.25,10857,8.8M,Free,Everyone,Mar 06 2020,17.6.0014384,5.0 and up,"1,000,000+"
Photography,4.63,4638,11M,Free,Everyone,May 01 2020,1.1.2,4.0.3 and up,"100,000+"
Family,4.6,222,15M,Free,Everyone,May 02 2019,2.8,4.0.3 and up,"10,000+"
Game Role Playing,4.55,264908,39M,Free,Everyone,Jan 24 2020,1.2.2,4.1 and up,"10,000,000+"
News And Magazines,4.5,3454,9.6M,Free,Everyone,May 07 2020,9.5.3,4.1 and up,"100,000+"
Weather,3.54,2093,14M,Free,Everyone,Apr 03 2020,4.2.3,5.0 and up,"100,000+"
Tools,4.95,87,5.3M,Free,Everyone,Mar 12 2020,2.1,4.0.3 and up,"1,000+"
Game Puzzle,4.02,129803,14M,Free,Everyone,Mar 31 2020,7.6.3935,4.0.3 and up,"10,000,000+"
Food And Drink,4.1,64784,13M,Free,Everyone,Sep 06 2019,18.6.0.10,5.0 and up,"10,000,000+"
Travel And Local,4.5,8323,10M,Free,Everyone,Apr 29 2020,18.1.0,4.1 and up,"100,000+"
Lifestyle,4.0,11,19M,Free,Everyone,Apr 25 2020,2.0.7,4.1 and up,500+
Education,4.81,695,3.4M,Free,Everyone,Nov 28 2019,3.3,5.0 and up,"50,000+"
Auto And Vehicles,2.59,41,93M,Free,Teen,Mar 24 2020,1.1,4.4 and up,"50,000+"
Music And Audio,4.48,464,4.8M,Free,Everyone,May 01 2020,3.3.2,4.4 and up,"50,000+"
Books And Reference,4.58,771,3.5M,Free,Everyone,Apr 09 2020,1903b,4.1 and up,"50,000+"
Education,4.61,233,16M,745.0542,Everyone,Sep 05 2019,1.39,4.0.3 and up,"5,000+"
Finance,4.4,8437,22M,Free,Everyone,May 01 2020,2.7,5.0 and up,"100,000+"
Personalization,4.4,512102,Varies with device,Free,Everyone,Aug 20 2019,Varies with device,Varies with device,"10,000,000+"
News And Magazines,4.0,11908,5.5M,Free,Everyone,Aug 05 2019,8.3,4.1 and up,"1,000,000+"
Game Strategy,4.14,17398,26M,Free,Teen,Feb 19 2019,3.9,2.3 and up,"1,000,000+"
Medical,4.4,163,40M,Free,Everyone,Aug 03 2019,10.4.1.015_05,4.0.3 and up,"10,000+"
Auto And Vehicles,4.3,3574,3.9M,Free,Everyone 10+,Aug 08 2019,1.6,4.0 and up,"1,000,000+"
Photography,4.83,6530,70M,Free,Everyone,Apr 17 2020,4.2.0,5.0 and up,"500,000+"
Libraries And Demo,4.3,332083,6.3M,Free,Everyone,May 28 2019,1.9.19,4.0 and up,"10,000,000+"
Education,4.54,301144,27M,Free,Everyone 10+,Apr 30 2020,4.0.8,4.0.3 and up,"10,000,000+"
Education,4.3,50,6.2M,Free,Everyone,Apr 17 2020,5.51.0_7745,4.0 and up,"1,000+"
Lifestyle,4.1,292,24M,Free,Everyone,Nov 09 2019,1.0.3,4.4 and up,"100,000+"
Tools,3.76,210,4.5M,Free,Everyone,Apr 17 2016,1.3,2.3.3 and up,"10,000+"
Music And Audio,5.0,3,20M,Free,Everyone,Jan 10 2020,1,4.1 and up,100+
Finance,4.33,155314,36M,Free,Everyone,Apr 30 2020,5.1.4,5.0 and up,"10,000,000+"
Productivity,3.78,9496,35M,Free,Everyone,Mar 07 2020,1.6.0,4.4 and up,"100,000+"
Health And Fitness,5.0,2,74M,Free,Everyone,May 02 2020,5.0.1-40026,4.2 and up,100+
Libraries And Demo,4.2,130287,50M,Free,Everyone,Apr 18 2017,1.8,4.1 and up,"10,000,000+"
Lifestyle,4.0,22,19M,Free,Everyone,Mar 14 2019,15.0,4.0.3 and up,"5,000+"
Game Adventure,4.41,89839,99M,Free,Teen,Apr 24 2020,1.17.1801,4.0.3 and up,"1,000,000+"
Personalization,4.14,20380,4.2M,208.0782,Everyone,Apr 28 2020,1.56,4.0.3 and up,"500,000+"
Entertainment,4.53,177816,9.2M,Free,Teen,Feb 09 2019,1.0.15,4.1 and up,"10,000,000+"
Game Puzzle,4.47,252712,30M,Free,Everyone,Oct 19 2018,1.10.1,4.0 and up,"5,000,000+"
Tools,4.47,1136,2.5M,Free,Everyone,Mar 13 2020,2.1,4.0.3 and up,"100,000+"
Game Arcade,4.29,266860,Varies with device,Free,Everyone 10+,Feb 07 2018,1.6.1,2.3.3 and up,"5,000,000+"
Tools,4.17,252206,3.9M,Free,Everyone,Feb 19 2020,1.8.0,4.0.3 and up,"10,000,000+"
Entertainment,4.27,105,4.3M,Free,Everyone,Aug 30 2017,1.0.4,3.0 and up,"10,000+"
Game Role Playing,3.63,46,24M,Free,Everyone,Nov 15 2017,1.0.5,2.3 and up,"1,000+"
Social,4.47,50371,3.3M,Free,Teen,Mar 13 2019,4.0.1,4.0.3 and up,"1,000,000+"
Libraries And Demo,4.1,3781,36M,Free,Everyone,May 20 2019,1.8,4.0 and up,"1,000,000+"
Medical,3.51,113,37M,Free,Everyone,Apr 29 2020,2.3.0,5.0 and up,"10,000+"
Maps And Navigation,2.8,440,23M,73.8342,Everyone,Jun 14 2019,2.5.9,2.3.3 and up,"10,000+"
Shopping,4.4,385764,8.4M,Free,Mature 17+,Sep 09 2019,3.82,4.1 and up,"10,000,000+"
Books And Reference,4.47,275,63M,Free,Everyone,Feb 22 2018,1.0.10,4.4 and up,"10,000+"
Education,3.59,130,14M,Free,Everyone,Apr 24 2020,4.4.3,4.0 and up,"10,000+"
Education,4.75,342,28M,Free,Everyone,Oct 24 2019,1.0.8,4.0 and up,"50,000+"
Health And Fitness,3.7,5559,3.7M,Free,Everyone,Apr 19 2017,22.0,4.0.3 and up,"500,000+"
Education,4.46,408,1.2M,Free,Everyone,Mar 05 2020,3.3,4.4 and up,"50,000+"
Personalization,4.41,4233,8.4M,Free,Everyone,Apr 24 2020,1.8.4,4.1 and up,"100,000+"
Game Puzzle,4.6,93352,23M,Free,Everyone,May 02 2020,1.21.162,4.1 and up,"10,000,000+"
Health And Fitness,4.54,571,6.8M,Free,Everyone,May 07 2020,1.3.3,4.3 and up,"10,000+"
Business,3.92,48,8.8M,Free,Everyone,Apr 21 2020,1.2.0.4,4.3 and up,"1,000+"
Personalization,4.33,296,2.2M,185.70420000000001,Everyone,Mar 03 2020,7,4.0.3 and up,500+
Game Strategy,4.44,101978,98M,Free,Teen,Apr 18 2020,1.78,4.0.3 and up,"1,000,000+"
Auto And Vehicles,5.0,4,95M,Free,Everyone,Apr 22 2020,1.2,4.4 and up,100+
Business,4.3,32584,Varies with device,Free,Everyone,Jun 08 2019,Varies with device,Varies with device,"1,000,000+"
Communication,3.69,35,Varies with device,Free,Everyone,Dec 28 2019,7.7.2.30719,Varies with device,"500,000+"
Sports,4.53,79233,16M,Free,Everyone,May 01 2020,3.5.0,4.1 and up,"1,000,000+"
Sports,4.5,152780,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"10,000,000+"
Lifestyle,4.6,6605,5.8M,Free,Everyone,May 06 2020,4.9.1,4.1 and up,"1,000,000+"
Game Racing,4.5,1628573,80M,Free,Everyone,Aug 10 2019,1.2.20,4.1 and up,"50,000,000+"
Productivity,4.36,1348,602k,Free,Everyone,Jun 25 2013,1.4,2.2 and up,"100,000+"
Communication,3.9,305,10M,Free,Everyone,Apr 01 2020,7.22,4.1 and up,"10,000+"
Education,4.29,86,4.2M,Free,Everyone,Jan 02 2020,1,4.0 and up,"10,000+"
Medical,4.58,62,28M,Free,Everyone,Mar 18 2020,1.2,5.0 and up,"1,000+"
Education,4.17,99,4.8M,Free,Everyone,Apr 17 2020,02.07.8,4.0.3 and up,"10,000+"
Books And Reference,4.43,143,8.5M,Free,Everyone 10+,Apr 26 2020,1.2,4.1 and up,"10,000+"
Music And Audio,4.81,594,4.2M,Free,Everyone,Mar 25 2020,1.0.2,4.4 and up,"10,000+"
Maps And Navigation,2.84,57,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"10,000+"
Entertainment,4.38,1336,45M,Free,Everyone,Jun 28 2019,1.1,4.0 and up,"50,000+"
Finance,4.66,12757,27M,Free,Everyone,May 06 2020,2.2.0,4.1 and up,"500,000+"
Game Casual,4.41,76,Varies with device,Free,Everyone,Apr 10 2020,1.1.5,4.1 and up,"10,000+"
Game Action,4.29,3098064,57M,Free,Mature 17+,Mar 20 2020,3.7.1a,4.1 and up,"100,000,000+"
Books And Reference,4.44,3099,45M,Free,Everyone,Apr 15 2020,1.3.0,4.4 and up,"500,000+"
Game,4.3,45558,53M,Free,Everyone 10+,Jun 28 2019,1.1.9,4.1 and up,"5,000,000+"
Game Card,4.63,13575,22M,Free,Everyone,Sep 17 2019,2.9.482,4.0.3 and up,"100,000+"
Game Action,4.3,44266,97M,Free,Teen,Dec 07 2019,1.28,4.0.3 and up,"1,000,000+"
Productivity,4.05,5862,9.7M,Free,Everyone,Jan 24 2017,2.1.3,2.3.3 and up,"500,000+"
Game,4.3,5682,37M,148.4142,Everyone,Apr 06 2018,1.1.5,2.3.3 and up,"50,000+"
Game,4.5,14200344,52M,Free,Everyone,Sep 04 2019,4.0.0,4.0.3 and up,"100,000,000+"
Game Strategy,4.46,482533,88M,Free,Everyone,Nov 23 2019,1.13,4.1 and up,"5,000,000+"
Finance,3.6,117,25M,Free,Everyone,Jul 27 2019,6.5.82-prod,4.2 and up,"10,000+"
Health And Fitness,5.0,3,9.3M,Free,Everyone,Nov 13 2018,0.0.1,4.1 and up,100+
Weather,3.7,26941,Varies with device,Free,Everyone,Aug 17 2019,Varies with device,Varies with device,"5,000,000+"
Productivity,4.2,10,1.5M,Free,Everyone,Apr 22 2017,1.1,4.1 and up,500+
Game Action,4.55,6845,87M,Free,Everyone 10+,Feb 01 2020,1.3.2,4.1 and up,"500,000+"
Entertainment,4.7,94157,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"1,000,000+"
Game Adventure,4.54,2175,Varies with device,Free,Everyone,Apr 29 2020,2.5.04,4.1 and up,"100,000+"
Communication,4.4,93825,11M,Free,Everyone,Aug 09 2019,2.17.3,4.1 and up,"5,000,000+"
Music And Audio,4.57,33051,4.4M,Free,Everyone,Apr 21 2020,1.6.80,4.1 and up,"1,000,000+"
Game Puzzle,4.45,1231,23M,Free,Everyone,May 06 2020,1.2.3,4.0.3 and up,"100,000+"
Education,4.74,5334,5.0M,Free,Everyone,Jan 03 2020,2.1.5,4.1 and up,"500,000+"
Entertainment,4.75,4,3.0M,Free,Everyone,Dec 12 2019,1,4.1 and up,"1,000+"
Education,3.89,148,25M,Free,Everyone,Oct 20 2018,5.2.000,4.1 and up,"10,000+"
Education,4.79,29,7.5M,Free,Everyone,Jun 22 2019,1.0.15,4.2 and up,"5,000+"
Books And Reference,4.44,1455,6.9M,Free,Everyone,Mar 09 2018,2.1.0,2.3 and up,"100,000+"
Game Simulation,4.36,2308227,Varies with device,Free,Teen,May 05 2020,Varies with device,Varies with device,"50,000,000+"
Shopping,4.49,10197,7.9M,Free,Everyone,Apr 11 2020,5.4,4.2 and up,"500,000+"
Education,4.4,56897,97M,Free,Everyone,Feb 20 2018,1.10.0,4.1 and up,"1,000,000+"
Dating,2.95,357,18M,Free,Mature 17+,Jan 18 2020,5.0.0,4.0.3 and up,"10,000+"
Travel And Local,4.14,21,5.6M,Free,Everyone,Apr 11 2020,0.2.7,4.2 and up,"1,000+"
Tools,4.65,20,12M,Free,Everyone,Mar 19 2020,4.6.0.4518,4.1 and up,"1,000+"
Game Board,4.78,66144,61M,Free,Teen,Apr 24 2020,2.3.06,4.1 and up,"1,000,000+"
Finance,4.54,3460,31M,Free,Everyone,May 06 2020,4.10.0,5.0 and up,"100,000+"
Music And Audio,4.5,4343,25M,Free,Teen,Apr 11 2020,2.2.38,4.4 and up,"100,000+"
Shopping,4.73,244752,25M,Free,Everyone,Apr 29 2020,4.9.2,4.4 and up,"10,000,000+"
Travel And Local,4.4,17915,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"1,000,000+"
Tools,4.22,24809,950k,Free,Everyone,Jan 18 2018,2.1,2.3 and up,"1,000,000+"
Tools,4.23,95165,6.9M,Free,Everyone,Nov 27 2019,2.01.41,4.4 and up,"10,000,000+"
Sports,4.54,35622,9.6M,Free,Everyone,Dec 21 2019,3.2.7,4.1 and up,"1,000,000+"
Game Arcade,3.66,797,9.5M,Free,Everyone,Jan 14 2020,1.1.0,4.4 and up,"100,000+"
Tools,4.25,58506,Varies with device,Free,Everyone,Apr 18 2020,Varies with device,Varies with device,"500,000,000+"
Entertainment,4.34,3733,Varies with device,Free,Everyone,Apr 19 2019,1,4.0 and up,"500,000+"
Game Sports,4.32,56885,38M,372.1542,Everyone,Oct 11 2019,04.00.44,4.0.3 and up,"500,000+"
Business,4.8,726,5.4M,297.5742,Everyone,Jan 24 2019,2.3.3,4.1 and up,"1,000+"
Finance,4.74,2588,9.3M,Free,Everyone,Jul 24 2019,1.4.11,4.4 and up,"100,000+"
Game Racing,4.43,3661978,23M,Free,Everyone 10+,May 05 2020,3.4.5,4.1 and up,"50,000,000+"
Sports,4.6,11549,Varies with device,Free,Everyone,Aug 11 2019,Varies with device,Varies with device,"100,000+"
Photography,4.05,273,4.5M,Free,Everyone,Dec 14 2019,0.2.5,4.0.3 and up,"50,000+"
Events,4.1,4418,7.3M,Free,Everyone,Mar 10 2020,9.1,4.0.3 and up,"100,000+"
Education,4.0,1702,9.0M,Free,Everyone,May 02 2020,2.3.215,4.2 and up,"100,000+"
Game Educational,4.4,7773,71M,Free,Everyone,Feb 21 2020,4.0.22,4.4 and up,"1,000,000+"
Social,3.82,9254,Varies with device,Free,Everyone,Jun 22 2018,Varies with device,Varies with device,"500,000+"
Tools,4.2,2531,3.3M,Free,Everyone,Sep 03 2018,1.2.4,6.0 and up,"100,000+"
Books And Reference,4.75,5014,8.5M,Free,Everyone,Apr 16 2020,5,4.1 and up,"100,000+"
Health And Fitness,3.43,42,23M,Free,Everyone,Feb 03 2018,1.052,4.1 and up,"5,000+"
Communication,4.7,279,5.4M,Free,Teen,Dec 23 2019,2.3,4.0.3 and up,"50,000+"
Music And Audio,5.0,17,28M,Free,Everyone,Apr 09 2020,1,4.0.3 and up,"1,000+"
Game,4.6,515240,63M,Free,Everyone,Jul 10 2019,1.7.1,4.0 and up,"10,000,000+"
Game Puzzle,4.6,54800,Varies with device,Free,Teen,Apr 23 2020,Varies with device,4.1 and up,"1,000,000+"
Medical,2.62,3179,33M,Free,Everyone,May 03 2020,8.0.289,4.4 and up,"500,000+"
Travel And Local,3.75,61,67M,Free,Everyone,Mar 25 2020,2.4,4.1 and up,"1,000+"
Game Board,4.29,6766,67M,Free,Everyone,Apr 01 2020,1.3.5,4.1 and up,"100,000+"
Video Players,4.48,1411,14M,Free,Everyone,May 04 2020,1.3.4,4.0 and up,"500,000+"
Sports,4.38,4046,19M,Free,Everyone,Apr 08 2020,06.16.00,4.4 and up,"500,000+"
Health And Fitness,4.16,147,2.6M,Free,Everyone,Mar 29 2020,4.6,4.0.3 and up,"50,000+"
Game Educational,4.13,58546,54M,Free,Everyone,Apr 17 2020,8.30.10.00,4.2 and up,"10,000,000+"
Personalization,4.76,349,53M,Free,Everyone,Oct 15 2019,1,4.0.3 and up,500+
Shopping,4.6,1371082,Varies with device,Free,Teen,Sep 07 2019,Varies with device,Varies with device,"50,000,000+"
Video Players,4.3,38607,2.9M,Free,Everyone,Apr 23 2018,3.1.8,2.3 and up,"1,000,000+"
Finance,4.21,85174,Varies with device,Free,Everyone,Apr 29 2020,Varies with device,Varies with device,"1,000,000+"
Personalization,4.46,20144,17M,Free,Everyone,Jul 05 2018,1.2,4.0 and up,"1,000,000+"
Game,4.5,32831,24M,Free,Teen,Jun 16 2018,17.05.11,4.0.3 and up,"500,000+"
Game Educational,4.71,24,77M,Free,Everyone,Jan 18 2018,1.4,4.0.3 and up,"10,000+"
Lifestyle,4.59,1820,4.0M,148.4142,Everyone,Jun 26 2019,4.0.2,4.0.3 and up,"10,000+"
Communication,4.47,3049,17M,Free,Everyone,May 05 2020,0.9.24,4.0.3 and up,"100,000+"
Lifestyle,4.47,51,3.6M,Free,Everyone,Oct 21 2019,1,4.1 and up,"1,000+"
Game Role Playing,4.58,18135,56M,Free,Teen,Aug 13 2019,1.1.4g,4.1 and up,"100,000+"
Business,4.02,1083,53M,Free,Everyone,Apr 03 2020,5.5.5,4.1 and up,"100,000+"
Personalization,4.36,11,5.4M,Free,Everyone,Dec 15 2019,1.4,4.0 and up,"1,000+"
Game Simulation,4.23,3721,35M,Free,Teen,Mar 26 2020,0.74,2.3 and up,"500,000+"
Family,3.5,9335,12M,Free,Everyone,Dec 31 2018,1.2,4.0.3 and up,"1,000,000+"
Education,5.0,3,30M,577.2492,Everyone,Sep 25 2019,7,2.2 and up,10+
Game Sports,4.19,52261,18M,Free,Everyone,Feb 23 2019,1.2.2,2.1 and up,"5,000,000+"
Communication,4.65,102,12M,Free,Everyone,Feb 24 2020,1.2,4.0.3 and up,"10,000+"
Personalization,3.92,61,Varies with device,111.1242,Everyone,Nov 29 2018,Varies with device,Varies with device,"1,000+"
Travel And Local,4.25,72,3.2M,595.8942,Everyone,Aug 25 2019,2.1.25,4.1 and up,"1,000+"
Game Puzzle,4.68,19,28M,Free,Everyone,Mar 18 2020,0.6.5,5.0 and up,"5,000+"
Books And Reference,3.64,2831,36M,Free,Teen,Apr 11 2020,2.1.7,4.1 and up,"100,000+"
Education,4.12,428,44M,Free,Everyone,Jan 18 2018,2.1.13,4.0 and up,"50,000+"
Tools,4.6,2246379,5.1M,Free,Everyone,Aug 02 2019,2.1.4,4.0 and up,"50,000,000+"
Tools,3.39,4775,90M,Free,Everyone,Nov 19 2019,91.9.1133.80,8.0 and up,"10,000,000+"
Game Simulation,4.52,292350,90M,Free,Everyone,Apr 20 2020,5.5.4,4.1 and up,"5,000,000+"
Books And Reference,4.68,154,24M,Free,Everyone,Dec 31 2018,1.0.1,4.0.3 and up,"10,000+"
Finance,4.23,3547,70M,Free,Everyone,Apr 06 2020,27,4.1 and up,"100,000+"
Books And Reference,4.58,207,4.5M,Free,Everyone,Nov 25 2019,1.2,4.0.3 and up,"10,000+"
Medical,4.53,581,52M,Free,Everyone,Apr 20 2020,3.8.38,4.4 and up,"10,000+"
Education,4.74,9089,13M,Free,Everyone,Apr 11 2020,3.9.3-08-03-2019-00-release,4.0.3 and up,"500,000+"
Finance,4.37,1863,12M,Free,Everyone,Feb 11 2020,1.6.3,4.2 and up,"50,000+"
Books And Reference,4.75,34595,67M,Free,Everyone,Feb 12 2020,1.0.11,4.0.3 and up,"1,000,000+"
Entertainment,4.08,13,3.9M,Free,Everyone,Jun 24 2016,1.0.0,3.0 and up,"5,000+"
Maps And Navigation,2.97,745,Varies with device,Free,Everyone,Oct 27 2015,Varies with device,Varies with device,"100,000+"
Auto And Vehicles,3.8,61,45M,Free,Teen,Mar 26 2020,1.1,4.1 and up,"100,000+"
Tools,4.79,1465542,Varies with device,Free,Everyone,Apr 18 2020,Varies with device,Varies with device,"50,000,000+"
Finance,4.39,5236,30M,Free,Everyone,Apr 14 2020,45.02,4.4 and up,"100,000+"
Sports,4.25,4,5.3M,Free,Everyone,Feb 22 2019,3.6.9,4.0 and up,"5,000+"
Books And Reference,4.71,8053,73M,Free,Everyone,Feb 25 2019,1.3.5,2.3.3 and up,"500,000+"
Education,4.61,23,21M,148.4142,Everyone,Oct 10 2017,1.4,2.3 and up,"1,000+"
Game Action,4.17,14350,46M,521.3142,Teen,Jan 24 2018,1.0.11,2.3.3 and up,"100,000+"
Game Casual,4.05,41,87M,Free,Everyone,Feb 23 2019,1.2,5.0 and up,"50,000+"
Game Board,4.77,2212164,25M,Free,Teen,May 07 2020,7.31.0,4.0.3 and up,"10,000,000+"
Education,5.0,4,3.4M,Free,Everyone,Apr 11 2020,1.3.4,4.1 and up,"1,000+"
Education,4.51,243,38M,Free,Everyone,Nov 21 2019,1.6.0,4.0 and up,"100,000+"
Health And Fitness,4.5,144050,55M,Free,Everyone,Aug 31 2019,18.7.1,5.0 and up,"5,000,000+"
Game Strategy,4.51,102917,90M,Free,Everyone 10+,Mar 14 2020,1.6.1,4.4 and up,"1,000,000+"
Family,4.4,1131937,41M,Free,Everyone,Jun 04 2019,2.4.0.7,4.1 and up,"100,000,000+"
Education,4.79,76,2.7M,Free,Everyone,Oct 24 2019,1.4.11,3.0 and up,"10,000+"
Entertainment,4.58,236,7.9M,Free,Everyone,Oct 30 2018,1.6,4.0.3 and up,"50,000+"
Game Educational,4.4,50408,43M,Free,Everyone,May 06 2020,1.0.40,4.1 and up,"1,000,000+"
Shopping,4.36,10503,21M,Free,Everyone,Mar 28 2020,3.4.0,4.1 and up,"500,000+"
Tools,4.24,1007,1.7M,Free,Everyone,Jan 28 2020,1.1.6,3.0 and up,"500,000+"
Tools,3.8,560,314k,Free,Everyone,Jul 13 2019,2.1.0.032,4.0.3 and up,"50,000+"
Game Action,3.62,16,20M,Free,Everyone 10+,Feb 25 2017,1.0.8,2.3 and up,100+
Education,4.47,535,21M,Free,Everyone,Jan 01 2020,4,4.0.3 and up,"100,000+"
Tools,4.76,1412,8.0M,Free,Everyone,Apr 15 2020,1.0.0.53,4.0 and up,"10,000+"
Parenting,4.53,81,86M,Free,Teen,Mar 26 2020,1.8.3,4.2 and up,"10,000+"
Social,4.55,110,Varies with device,Free,Everyone,Apr 18 2020,Varies with device,Varies with device,"10,000+"
Entertainment,4.46,278,6.3M,Free,Teen,May 01 2020,1.4.2,4.1 and up,"100,000+"
Education,4.13,325,28M,148.4142,Everyone,Oct 21 2015,2.2.0,2.3 and up,"10,000+"
Game Arcade,4.35,60,83M,Free,Everyone,Feb 12 2020,1.0.68,4.0.3 and up,"10,000+"
Lifestyle,3.6,126,1.4M,185.70420000000001,Everyone,Jul 27 2019,8,4.1 and up,"5,000+"
News And Magazines,4.2,2318,4.5M,Free,Everyone,Jan 17 2016,2.3,2.3 and up,"100,000+"
Social,3.8,826,5.1M,Free,Teen,Jun 14 2019,2.0,4.1 and up,"500,000+"
News And Magazines,4.73,541,7.4M,Free,Everyone,Jun 29 2019,2.1.2,4.0 and up,"100,000+"
Game Casino,4.09,160,41M,Free,Teen,Jul 10 2018,2.4,4.0 and up,"10,000+"
Finance,3.03,1310,45M,Free,Everyone,Apr 16 2020,4.5,4.4 and up,"100,000+"
Tools,4.21,1316,17M,Free,Everyone,Mar 04 2020,5.3.4,4.1 and up,"10,000+"
Finance,3.93,28705,52M,Free,Everyone,Mar 31 2020,3.12.5,4.3 and up,"1,000,000+"
Dating,3.35,4892,19M,Free,Mature 17+,May 05 2020,1.1.9,5.0 and up,"100,000+"
Tools,4.5,78629,6.3M,Free,Everyone,Aug 24 2019,3.4.406,4.0.3 and up,"1,000,000+"
Education,4.57,1803,15M,Free,Everyone,May 06 2020,5.1.10,4.1 and up,"100,000+"
Game,3.7,38767,4.1M,Free,Everyone 10+,May 15 2012,1.4.3,2.0 and up,"5,000,000+"
Family,4.1,530792,Varies with device,Free,Everyone,Jul 04 2019,Varies with device,Varies with device,"10,000,000+"
Maps And Navigation,3.6,258,6.9M,Free,Everyone,Jan 28 2019,2.1,4.0 and up,"50,000+"
Social,4.2,3895,Varies with device,Free,Teen,Aug 01 2019,176.0.0.29.0,4.4 and up,"1,000,000+"
Family,4.2,3133,34M,Free,Everyone,Feb 07 2017,1.1.1,3.1 and up,"500,000+"
Photography,4.56,20324,76M,Free,Everyone,May 07 2020,5.4.0,4.1 and up,"1,000,000+"
Video Players,4.44,1303,5.6M,Free,Everyone,Apr 13 2020,1.0.15,4.1 and up,"50,000+"
Tools,4.2,5,828k,73.8342,Everyone,Nov 29 2019,2.1,4.0 and up,100+
Finance,4.6,1374549,32M,Free,Everyone,Aug 27 2019,3.52,5.0 and up,"10,000,000+"
Medical,4.5,4,4.4M,Free,Everyone,Apr 18 2020,1.1.1,4.4 and up,"1,000+"
Education,4.51,148,6.2M,Free,Everyone,Dec 27 2019,1.0.6,4.4 and up,"10,000+"
Education,4.0,46247,Varies with device,Free,Everyone,Mar 25 2020,Varies with device,Varies with device,"1,000,000+"
Education,4.56,616,5.2M,Free,Everyone,Feb 10 2020,1.5,4.1 and up,"10,000+"
Shopping,4.6,8175,3.2M,Free,Everyone,May 10 2019,3.2.3,4.0.3 and up,"100,000+"
Game Casino,4.35,2957,30M,Free,Teen,Mar 31 2020,2.0.13,4.0.3 and up,"100,000+"
Family,3.5,4,21M,Free,Everyone,Oct 27 2018,1.1,4.3 and up,"1,000+"
Libraries And Demo,3.9,58055,41k,Free,Everyone,Dec 12 2017,2.0.3,1.5 and up,"5,000,000+"
Medical,4.37,989,16M,Free,Everyone,Dec 22 2017,2.8,4.0 and up,"50,000+"
Game Role Playing,3.15,528,22M,Free,Everyone,Mar 13 2016,1quest free 1.04.000,2.2 and up,"10,000+"
Business,4.83,6,3.9M,Free,Everyone,Jan 04 2020,2.1,4.0.3 and up,100+
Travel And Local,4.18,10332,8.8M,Free,Everyone,May 07 2020,1.5.1,4.1 and up,"1,000,000+"
Libraries And Demo,4.2,78,812k,Free,Everyone,Mar 12 2018,2.3.2,1.6 and up,"10,000+"
Game Puzzle,3.42,1170,22M,Free,Everyone,May 05 2020,1.0.35,4.1 and up,"100,000+"
Game Racing,4.46,594421,97M,Free,Everyone,Oct 19 2019,1.1.11277,4.4 and up,"50,000,000+"
Game Casual,4.46,15076,18M,Free,Everyone,Apr 29 2020,2.5.7,4.0.3 and up,"1,000,000+"
Books And Reference,3.84,880,35M,1098.5634,Everyone,Aug 07 2018,2.1.0,4.0 and up,"10,000+"
Food And Drink,4.68,19,6.4M,Free,Everyone,Apr 29 2020,1.7.24,4.4 and up,100+
Education,4.1,9348,Varies with device,Free,Everyone,Jul 06 2017,Varies with device,Varies with device,"1,000,000+"
Medical,3.72,54,10M,Free,Everyone,Mar 26 2020,1.8.171,6.0 and up,"10,000+"
Education,3.96,385,3.9M,Free,Everyone,Apr 19 2020,1.4,4.0 and up,"50,000+"
Finance,4.2,11264,24M,Free,Everyone,Jul 31 2019,5.2.203,4.2 and up,"1,000,000+"
Game Action,4.71,708404,56M,Free,Everyone,Apr 07 2020,1.8.8.5,4.1 and up,"10,000,000+"
Books And Reference,4.43,9178,8.0M,Free,Everyone,Nov 08 2019,3.0.2,4.0 and up,"1,000,000+"
Entertainment,2.72,54,17M,Free,Everyone,Apr 10 2020,2.1.5,5.0 and up,"100,000+"
Events,4.51,286,15M,Free,Everyone,May 06 2020,3.3,4.1 and up,"1,000+"
Game Racing,4.72,48480,Varies with device,Free,Teen,Sep 12 2018,1.0.4,4.1 and up,"1,000,000+"
Family,4.4,98324,70M,Free,Everyone,Sep 01 2019,1.19.1,4.1 and up,"1,000,000+"
Tools,4.75,67034,15M,Free,Everyone,May 02 2020,2.65e,5.0 and up,"1,000,000+"
Productivity,3.76,388,12M,Free,Everyone,Jun 25 2014,1,2.3 and up,"100,000+"
